	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	capillary endothelial cell	endothelial cell	endothelial cell of artery	fibroblast	macrophage	mast cell	natural killer cell	neutrophil	pericyte	smooth muscle cell	vein endothelial cell
ABT1	0.165093	0.00115716	0	0.238035	0.852927	0.245686	0.0986746	0	0	0	0.260574	0.230763	0.00184844
ABTB1	0	0	0.449631	0.0696731	0.243372	0.104204	0.115946	0	0	1.31211	0.191347	0.0761055	0
ABTB2	0.00016531	0.000227816	0	0	0	0.022708	0	0	0	0	0	0	0.0706858
ACAA1	0.0477666	0.139832	0	0.059981	0	0.154316	0.288615	0	0	0	0.0436383	0.115302	0
ACAA2	0.152158	0.12042	0.0923913	0.142256	0.242158	0.323358	0.0914847	0.00997939	0.231652	0	0.237363	0.0738897	0
ACACA	0	0.0401081	0.122837	0.0328785	0	0.127442	0.0701981	0.133739	0	0.0671564	0.0677207	0.0475125	0
ACACB	0.0900333	0	0.386702	0.281213	1.81648	0.133373	0	0	0	0	0	0.0473093	0.765354
ACAD10	0.0448231	0.000473724	0	0.00256086	0	0.027339	0.0159153	0	0	0	0.00106183	0	0
ACAD11	0.000163418	0	0	0.00920767	0	0.00862314	0	0.000489654	0.00112935	0	0.00711952	8.81159e-05	0
ACAD8	0.156309	0	0	0.0100648	0	0.0603607	0.00268	0	0	0	0.206222	0.185103	0.260939
ACAD9	0	0.081503	0	0.0961414	0.000452523	0.0462233	0.0268441	0	0	0	0.0820242	0.232923	0
ACADL	0	0	0	0	0	0.207904	0	0	0	0	0.000254142	0.140308	0
ACADM	0.166771	0.0416915	0.704989	0.219255	0.00277781	0.188942	0.0599934	0	0	0	0.222919	0.576945	0
ACADS	0	0	0	0	0	0.101945	0.0531673	0	0	0	0.0530623	0.000639397	0
ACADSB	0.0502691	0.0302507	0	0.0784966	0.0381747	0.051512	0.000348841	0	0	0	0.0550408	0.000115615	0
ACADVL	0.0527007	0.0349814	0.159937	0.206642	0.729077	0.435618	0.488014	0.396711	0	0	0.295651	0.503374	0.946312
ACAN	0	0	0	0	0	0	0	0	0	0	0	0.567549	0
ACAP1	0.400728	0.490882	0	0	0	0.0267221	0.121645	0.191165	0.460261	0	0.00502161	0	0
ACAP2	0.202203	0.200018	0.293407	0.334153	0.456268	0.293853	0.379094	0.356847	0.50354	0.0671564	0.368245	0.181884	0
ACAP3	0.0124968	0	0	0.00116389	0	0.024619	0.0205495	0	0	0	0	0.0472493	0
ACAT1	0.486137	0.112332	0.868503	0.430803	0	0.561005	0.191927	0.0504048	0	0	0.469411	0.471776	0.420066
ACAT2	0	0.114184	0.392733	0.131582	0.000904432	0.127563	0.0643893	0	0	0	0.237776	0.0922673	0.00184844
ACBD3	0.00929418	0.0416696	0.0194862	0.0868459	0.000696626	0.158642	0.0687069	0	0	0	0.192108	0.0180862	0.142448
ACBD4	0	0	0	0	0	0.0548427	0.00239519	0	0	0	0.0181131	0.0379288	0
ACBD5	0.00574106	0	0.976939	0.0530309	0	0.089067	0.137078	0	0	0	0.0557008	0.000451952	0
ACBD6	0.153037	0	0	0.155797	0	0.133797	0.06589	0	0	2.23931	0.276121	0.404661	0
ACCS	0	0	0.000446706	0.048081	0	0.0229517	0.0389743	0	0	0	0.0517743	0.0386335	0.48798
ACD	0	0	0	0.0583849	0	0.0626486	0.00475864	0.0595675	0.120971	0	0.0957155	0.000709939	0
ACE	0	0	0	0.0521053	0	0.0349551	0.0510376	0	0	0	0	0.00164821	0
ACE2	0	0	0	0	0.706706	0.132036	4.95053e-05	0	0	0	0.00194695	0	0
ACER2	0	0.0381436	0	0	0	0.000736969	0	0	0	0	0	0	0
ACER3	0.0730817	0.0981402	0.0872857	0.04901	0	0.0657688	0.247752	0.477198	0	0	0.161403	0	0
ACIN1	0.142408	0.0640676	0.000943864	0.0833583	0.501421	0.203716	0.360468	0.0124404	0	0	0.183569	0.0916103	0
ACLY	0.0297774	0.104946	0.535654	0.316757	0	0.238225	0.190582	0.374881	0	0	0.292676	0.196446	0.7726
ACO1	0	0	0.315509	0.0594162	0	0.119493	0.115858	0.189553	0	0	0.170178	0.0266364	0
ACO2	0.021513	0	1.04839	0.0102136	0.439376	0.127894	0.0102374	0.760532	0.389792	0	0.38925	0.175629	0.0434287
ACOT1	0.000645397	0.0197644	0	0.00505517	0	0.0444182	0.0460825	0.101371	0	0	0.118738	0.126271	0
ACOT11	0	0	0	0	0	4.507e-05	0.00529948	0	0	0	0.0613308	0	0
ACOT13	0	0.190456	0.714999	0.0281284	0	0.128685	0.0591331	0.0181686	0.412818	0	0.0714783	0.103568	0
ACOT2	0.031093	0.152234	0	0.0189835	0	0.0931497	0.0704746	0.280006	0	0	0.289039	0.115215	0
ACOT4	0	0	0	0.000119328	0	0.0536213	0	0	0	0	0.0132991	0	0
ACOT7	0	0	0	0	0	0	0	0.156107	0	0	0.0938598	0.131927	0
ACOT8	0	9.62956e-05	0	0.0177331	0.548361	0.0382222	0	0.330641	0	0	0.119986	0.207173	0
ACOT9	0.148363	0.177015	0	0.0925108	0	0.239596	0.252187	0.194823	0.182598	1.29009	0.349484	0.211766	0.813532
ACOX1	0.0841537	0.000726673	0.574423	0.0634231	0	0.245395	0.139126	0.000245037	0	0	0.0958701	0.162155	0
ACOX2	0	0	0	0	0	0.222482	0.00164068	0	0	0	0.178298	0	0
ACOX3	0.0382518	0	0	0	0	0.0831273	0.0804743	0	0	0	0.0141428	0	0
ACP1	0.252257	0.433164	0.396611	0.400501	0.566666	0.334654	0.0895059	0.29743	0.235265	0	0.358278	0.466697	0
ACP2	0.000273945	0	0	0.129088	0	0.0946431	0.0764489	0	0	0	0	0.078396	0
ACP5	0.00400783	0.00458078	0.00111638	0.0257919	0	0.000680918	0.158056	0.000220402	0.00382917	0	0.000208049	0.00123339	0.00821874
ACP6	0.12772	0	0	0	0	0.00011487	0	0	0	0	0	0.00811052	0
ACRBP	0	0	0	0	0	0.0174842	0.00581615	0	0	0	0	0	0
ACSBG1	0	0.00138385	0	0	0	0.000801453	0.000322191	0.00122166	0	0	0.00112074	0.00137716	0.00366946
ACSF2	0	0.110101	0	0.0858482	0	0.0151209	0.00127327	0.311134	0	0	0	0	0
ACSF3	0.0624579	0.151458	0	0.0736008	0.238266	0.118631	0.171008	0.393703	0	0	0.112431	0.147181	0.752724
ACSL1	0.000352176	0.178593	0	0.062902	0	0.410296	0.815923	0.194356	0	1.96192	0.0722868	0.0922797	0
ACSL3	0.347479	0.119544	0.482815	0.227389	0.192097	0.184409	0.343052	0	0	0	0.331986	0.279765	0
ACSL4	0	0.0316235	0	0.202768	0.639144	0.0917193	0.00570521	0.428194	0	0	0.0390866	0.104497	0
ACSL5	0.155555	0.312738	0	0.446311	0.0725548	0.195291	0.043724	0.00155227	0.237186	0	0	0	0.884111
ACSL6	0.0703575	0	0	0.000239386	0	0.00935792	0	0	0	0	9.79138e-05	0	0
ACSM1	7.14774e-05	0	0	0.00262914	0	0.0448374	0	0	0	0	0	0	0
ACSM3	0	0.111891	0	0.100104	0	0.126304	0	0	0	0	0	0.0206328	0
ACSM5	0	0	0	0	0	0.044243	0.0217923	0	0	0	8.29269e-05	0.083767	0
ACSS1	0	0	0	0.0534232	0	0.0745676	0.015454	0.375307	0.0524143	0	0.173744	0	0
ACSS2	0	0	0	0.140811	0.00758397	0.129531	0.18743	0.568906	0	0	0.161735	0.160206	0
ACSS3	0	0	0	0	0	0.0562426	0.0961215	0	0	0	0.000712002	0	0
ACTA2	0	0	0	0.0766444	0	0.397741	0	0	0	0	4.14283	3.90019	0
ACTB	3.57041	4.16618	4.05561	3.1529	3.22539	3.55979	3.63699	3.90583	4.20191	5.17586	4.70911	4.81734	3.38039
ACTC1	0	0	0	0	0	0	0	0	0	0	0.367561	0.804573	0
ACTG1	1.35419	2.08283	2.39803	2.75805	2.22116	2.26125	1.97725	0.862694	3.01238	1.62652	3.48205	3.58683	3.04667
ACTG2	0	0	0	0	0	0	0	0	0	0	1.23954	0.83599	0
ACTL6A	0.0963044	0	0.846933	0.103939	0	0.248927	0.0669692	0	0.187591	0	0.34063	0.171504	0
ACTN1	0.000247605	0.00383349	0.179308	0.829433	1.18911	0.08414	0.642314	0.000733853	0.536562	0	1.15989	1.93197	1.21891
ACTN2	0.000138705	0.000154665	0	0	0	0.00425093	0	0	0	0.0671564	0.0416567	0	0
ACTN4	0.0970527	0.0695012	1.12217	0.446774	0.616144	0.116916	0.113121	0.502775	0	0.526939	1.09112	0.996115	0.000919893
ACTR10	0.118236	0.268397	0	0.395156	0	0.655201	0.167054	0.952297	0	0	0.423621	0.678824	0.0625819
ACTR1A	0	0.22319	0.849158	0.17412	0.401819	0.335513	0.146954	0.0165486	0	0	0.341696	0.372388	0
ACTR1B	0.0540036	0.106374	0.00949007	0.120473	0.380943	0.0371311	0.27517	0.00546596	0.246276	0	0.0440702	0.0861393	0
ACTR2	0.704576	0.385811	0.00220595	0.488233	0	0.409199	0.653613	0.300463	0	1.22712	0.311553	0.226579	0
ACTR3	0.347347	0.39131	0.141012	0.233925	0	0.28717	0.427456	0.18025	0.768442	0	0.525355	0.31302	0.045969
ACTR3B	0	0	0	0.0897909	0	0.00612779	0	0	0	0	0.0611905	0	0
ACTR3C	0	0	0	0.00095054	0	0.00599777	0.000118317	0	0	0	0	0	0
ACTR5	0.0736503	0.109566	0.491387	0.0455431	0	0.0427276	0	0	0	0	0.00362425	0.0573844	0
ACTR6	0.0168105	0.116557	0	0.00765458	0	0.127157	0.0378184	0	0	0	0.0927962	0	1.10488
ACTR8	0	0.128956	0	0.0374457	0	0.0844558	0.0269493	0.346078	0	0	0.0928726	0.185955	0
ACTRT3	0	0	0	0.0593191	0	0.000847542	0	0	0	0	0.0814235	0.012704	0
ACVR1	0.157198	0	0.377537	0.0652546	0	0.226057	0.00341235	0.000245037	0	0	0.0730143	0.103298	0
ACVR1B	0	0	0	0.0689882	0	0.0607013	0	0.136045	0.382741	0	0.115167	0	0
ACVR1C	0.0483979	0	0	0	0	3.42817e-05	0	0.000204338	0	0	0	0	0
ACVR2A	0.0374201	0	0	0.188439	0	0.236421	0.0907932	0.199557	0	0	0.20131	0.107013	0
ACVR2B	0	0.000364921	0	0.000379963	0	0.047636	0.0438139	0	0	0	0.00256331	0.0358231	0
ACVRL1	0	0	0.0693377	0.280609	0.11454	0.414166	0.0283836	0	0	0	0.0956903	0.0120898	0
ACY1	0	0	0	0	0	0.0101076	0	0	0	0	0.0136016	0.00819919	0
ACYP1	0.132015	0.0629969	0	0.102177	0	0.1095	0.0252973	0.228115	0.258982	0	0.01734	0.0467682	0.00458263
ACYP2	0.0464258	0.0343317	0.206434	0.0629561	0.343606	0.0585068	0	0	0.454018	0	0.226126	0.11852	0.51016
ADA	0.0675392	0.214227	0.522835	0.099201	0.58491	0.630742	0.0459029	0	0	0	0.260809	0.000817196	0.00643986
ADAL	0	0	0	0.00824672	0.23066	0.0450188	0.0159711	0	0	0	0.00609836	0	0
ADAM10	0.311845	0.409887	1.11754	0.422222	0.178623	0.0529082	0.229677	0.311677	0.988806	0	0.186242	0.0812825	0.718865
ADAM12	0.121213	0	0	0	0	0.019931	0	0.227744	0	0	0	0	0
ADAM15	0	0	0.000644003	0.52028	0.713463	0.0917745	0.092087	0	0.127486	0	0.00354516	0.0366303	0.128403
ADAM17	0.0266304	0.038168	0.426685	0.0359118	0	0.135944	0.567618	0.000489654	0	0	0.0495435	0.184349	0.00731219
ADAM19	0.176681	0.145177	0	0	0	0.162516	0	0	0	1.02425	0.149373	0	0
ADAM22	0.00192094	0	0	0	0	0.0085042	0	0	0	0	3.00944e-05	0	0
ADAM23	0.00273158	0	0.503308	0.0363979	0	0	0.0505561	0	0	0	0	0	0
ADAM28	0	0	0	0.00566992	0	2.00372e-05	0.171317	0	0	0	0	0	0
ADAM29	0	0.00119789	0	0	0	1.60934e-05	0.0449593	0	0	0	0	0	0
ADAM32	0	0	0	0	0.0707355	0.063153	0.109754	0	0	0	0.00155754	0	0
ADAM33	0	0	0	0	0	0.266104	0	0	0	0	0.357597	0.101384	0
ADAM8	0.0703143	0.107569	0	0	0	0	0.125791	0	0.416844	0	0	0	0
ADAM9	0	0.00036401	0	0.0882638	0.29031	0.379328	0.435763	0	0	0	0.340401	0.131409	0
ADAMTS1	0	0	0.262422	0.305921	1.61013	1.07228	0	0.144545	0	0	1.9742	1.18876	0.079451
ADAMTS10	0	0	0	0	0	0.0482203	0	0	0	0	7.22487e-05	0	0
ADAMTS12	0	0	0	0	0	0.00172481	0.00127327	0	0	0	0.0604186	0	0
ADAMTS15	0	0	0.285556	0	0	0.0420872	0	0	0	0	0.0440511	0	0
ADAMTS18	0.000406265	0	0	0	0	0	0	0	0	0	3.32261e-05	0	0
ADAMTS19	0	0	0	0.000306458	0	0	0.000105225	0	0	0	0	0	0
ADAMTS2	0	9.62956e-05	0	0	0	0.276446	0.320355	0	0	0	0.1885	0.231485	0
ADAMTS3	0	0	0	0.0327661	0	0.0137055	0	0	0	0	0.000306961	0	0
ADAMTS4	0	0	0	0.267696	0	0.199038	0	0	0.000945777	0	1.04602	0	0.668596
ADAMTS5	0	0	0	0	0	0.499998	0	0	0	0	0.0573202	0	0
ADAMTS6	0	0	0	0.0751533	0	0.025826	0	0	0	0	0	0	0.0614384
ADAMTS7	0	0	0	0	0	0	0.00105251	0	0	0	0.0451196	0.018909	0
ADAMTS9	0.000377663	0	0	0.494442	0.00172758	0.040982	0	0	0	0	0.338469	0	0
ADAMTSL1	0.000185217	0.000130965	0	0.110916	0.374813	0.149672	0	0	0	0	0	0	0
ADAMTSL3	0	0	0	0.00250938	0	0.562775	0.000150783	0	0	0	0.0242752	0.00884291	0
ADAMTSL4	0	0	0	0.0327306	0	0.103355	0.132298	0.00971313	0	0	0.0164409	0	0
ADAMTSL5	0.042675	0	0	0	0	0.000119224	0	0	0	0	0.0439044	0	0
ADAP1	0.0112419	0	0	0	0	0.00217607	0.0344898	0	0	0	0.00132045	0	0
ADAP2	0.00402242	0	0	0.000102677	0	0	1.10571	0	0	0	0.128668	0.00130061	0
ADAR	0.436145	0.575155	0	0.44803	1.28759	0.32873	0.417584	0.413786	0.852465	0	0.46208	0.202544	0.980962
ADARB1	0	0.0849687	0	0.0677589	0.0129932	0.0637771	0.146487	0	0.564542	0	0.106072	0.382758	0.535905
ADAT1	0.126967	0.0657182	0	0.135201	0	0.0818104	0.198237	0	0	0	0.129499	0.164832	0
ADAT2	0.111331	0.137141	0	0.0509225	0	0.017264	0.0428576	0	0	0	0.0485048	0.0212676	0
ADCK1	0	0	0	0	0.627771	0.030898	0.0559404	0	0	0	0	0	0
ADCK2	0	0	0	0	0	0	0.0539496	0	0	0	0.0355702	0.000179219	0.101332
ADCK5	0.000836515	0	0	0	0	0.00722971	0.0129986	0	0	0	0.0586233	0	0
ADCY1	0	0	0.242671	0	0	0.0201633	0	0	0	0	0.158027	0.103977	0
ADCY10P1	0	0	0	0.0206648	0	0	0	0	0	0	0	6.86122e-05	0
ADCY2	0.000273945	0.000259582	0	4.00529e-05	0	0.0160126	0	0	0	0	0	0	0
ADCY3	0.160304	0.0623552	0	0	0	0.33161	0	0	0	0	0.444217	0.0653981	0
ADCY4	0.0221024	0	0.729447	0.606033	0.988135	0	0	0	0	0.0671564	0.0124162	0	0.497201
ADCY5	0	0	0	0	0	0	0.00133348	0.000204338	0	0	0.162084	0.0671223	0
ADCY6	0	0	0	0	0	0.00229089	0	0	0	0	0.0879122	0.212728	0
ADCY7	0.000216378	0	0	0	0	0	0.0968487	0	0	0	0	0	0
ADCY9	0.0332561	0	0	0.0460414	0	0.0388426	0.0351613	0.0188257	0	0	0.00119289	0.11381	0
ADCYAP1R1	0	0	0	0	0	0.105866	0	0	0	0	0	0	0
ADD1	0.0616262	0.135689	0.922706	0.491908	1.60248	0.56328	0.109988	0.519211	0	0	0.668279	0.258584	0.880047
ADD2	0	0.000209	0	0.114153	0.0670457	2.29208e-05	0	0	0	0	0	0	0
ADD3	0.225065	0.233414	0.548798	0.237418	0	0.96897	0.1415	0	0.811559	0	0.0516472	0.114145	0
ADGB	0.000353987	0	0	0	0	5.0453e-05	0	0	0	0	0.000212981	0	0
ADH1A	0	0	0	0	0	0.082298	0	0.00203034	0.0152585	0	0.0136836	0.0808446	0
ADH1B	0	0	0	0	0	3.08008	0	0.214996	0.660279	0	0.806244	2.41309	0
ADH1C	0	0	0	0	0	0.496974	0	0.000815602	0.0131487	0	0.0205926	0.138905	0
ADH4	0	0	0	0	0	0.113025	0	0	0	0	5.53532e-05	0	0
ADH5	0.0804146	0.374929	0.00220595	0.214641	0.000452523	1.10865	0.132203	0.304553	0	0	0.605062	0.804311	0
ADH6	0	0	0.000553314	0	0	0.000169401	0	0	0	0	0.000156089	0.0220743	0
ADHFE1	0.00422577	0	0	0.0117679	0	0.185879	0.0665798	0.193652	0	0	0.0556465	0.166608	0
ADI1	0.0600916	0	0.498071	0.252003	0	1.28763	0.0513447	0.688666	0	0	0.878124	1.07065	0
ADIPOR1	0.0627919	0.25174	0.991341	0.33516	0.577997	0.497601	0.427303	1.24862	0	0.886417	0.65816	0.884598	0.874047
ADIPOR2	0.0134967	0	0.518231	0.406784	0.242486	0.133258	0.205632	0.407639	0.49141	0	0.0320086	0.0451599	0
ADK	0.284092	0	0.000553314	0.0402804	0	0.308868	0.126887	0.54976	0.506696	0	0.11925	0	0
ADM	0	0.0282918	0.345514	0.448481	0	1.13621	0.483193	0.109693	0	1.27696	0.102006	0	0
